企业名称,统一社会信用代码,成立年限,注册资本（统一人民币为单位）,实缴资本（统一人民币为单位）,经营状态,企业类型,组织类型,投资类型,企业规模,分支机构数量,分支机构名称,地址信息,投融资轮次,企业资质,法定代表人,注册号,组织机构代码,所属行业,经营范围,邮箱（工商信息）_x,邮箱（企业认证信息）,股东,联系电话,联系电话2,联系电话3,联系电话4,联系电话5,推荐电话
北京迈得诺医疗技术有限公司,91110105696324678X,40115,2000万元人民币,2000万元人民币,存续,有限责任公司,有限责任公司,自然人投资或控股,微型企业,,无分支机构信息,,无投融资信息,小微企业,李培尚,110105012364524,696324678,其他科技推广服务业,一般项目：技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；第二类医疗器械销售；第二类医疗设备租赁。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）许可项目：第三类医疗器械经营；第三类医疗设备租赁。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）（不得从事国家和本市产业政策禁止和限制类项目的经营活动。）,49993889@qq.com,,李培尚; 李岳宸,62053003,13910663003,010-62053003,13167508477,,
北京光华医疗有限公司,91110105MA01CLAE92,43252,1000万元人民币,1000万元人民币,存续,有限责任公司,有限责任公司,法人独资,微型企业,,无分支机构信息,北京市朝阳区建国门外光华路14号1幢1层26,股权融资,小微企业,牟淑云,110105025454053,MA01CLAE9,门诊部（所）,内科医疗服务；销售第Ⅲ类医疗器械；医疗信息咨询（不含诊疗活动）；销售Ⅰ类、Ⅱ类医疗器械；会议及展览服务；出租商业用房。（市场主体依法自主选择经营项目，开展经营活动；内科医疗服务、销售第Ⅲ类医疗器械以及依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。）,humanresource@cifco996.com,,北京东方恒祥资产管理有限公司,65807365,010-65807029,,,,
慈信（北京）医疗投资有限公司,91110105MA003R3P0K,42426,1111.1万元人民币,433.8万元人民币,存续,有限责任公司,有限责任公司,自然人投资或控股,,,无分支机构信息,,A轮,高新技术企业 | 小微企业,耿俊强,110105020731517,MA003R3P0,投资与资产管理,项目投资；投资管理；资产管理；企业管理；经济贸易咨询；市场调查；会议服务；承办展览展示活动；设计、制作、代理、发布广告；翻译服务。（'1、未经有关部门批准，不得以公开方式募集资金；2、不得公开开展证券类产品和金融衍生品交易活动；3、不得发放贷款；4、不得对所投资企业以外的其他企业提供担保；5、不得向投资者承诺投资本金不受损失或者承诺最低收益'；市场主体依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。）,947126460@qq.com,,俞熔; 慈信合力（天津）医疗咨询合伙企业（有限合伙）; 李妍; 王丹丹; 珠海隆门资本管理有限公司; 秦皇岛高特佳汇佳股权投资基金合伙企业（有限合伙）; 耿俊强; 谭焱; 韩圣群; 韩小红,13910551935,,,,,
和睦家医疗管理咨询（北京）有限公司,91110105769351184F,38321,70万元人民币,70万元人民币,存续,外商投资,有限责任公司,外国法人独资,微型企业,1,和睦家医疗管理咨询（北京）有限公司上海分公司,,无投融资信息,小微企业,吴启楠,110000410225244,769351184,社会经济咨询,医院管理咨询；技术咨询；医院管理技术培训；I、II类医疗器械、机械设备、五金交电、电子产品、服装、日用品、化妆品、针纺织品、塑料制品、家用电器、家具、文具用品、化工产品（不含危险化学品）、体育用品的批发、零售；相关产品的技术咨询、安装、维修和售后服务；仓储服务；货物进出口、代理进出口、技术进出口（涉及配额许可证管理，专项规定管理的商品按照国家有关规定办理）；租赁I、II类医疗器械、建筑工程机械设备、家具；批发食品、保健食品；批发、零售第III类医疗器械。（市场主体依法自主选择经营项目，开展经营活动；批发食品、保健食品；批发、零售第III类医疗器械。以及依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。）,liu.xinxin@ufh.com.cn,,和睦家美国医疗公司,59277000,59277279,59277278,59277425,,
北京纯粹医疗诊所有限公司,911101053272772711,42016,3000万元人民币,660万元人民币,存续,有限责任公司,其他有限责任公司,,微型企业,,无分支机构信息,北京市朝阳区东三环北路甲19号205室纯粹医疗,无投融资信息,无特殊资质,俞志华,110105018466537,327277271,门诊部（所）,许可项目：医疗服务；生活美容服务；食品销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）一般项目：技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；化妆品零售；日用品销售；第一类医疗器械销售；针纺织品销售；化工产品销售（不含许可类化工产品）；第二类医疗器械销售；第一类医疗器械租赁；第二类医疗器械租赁；会议及展览服务。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）（不得从事国家和本市产业政策禁止和限制类项目的经营活动。）,finance@pureplusclinic.com,,北京悠蓝国际医疗投资管理有限公司; 北京纯粹美美容服务有限公司,010-85958873,52421597,13288888710,15011288710,,
北京缙铖医疗科技有限公司,911101053272832253,42019,2000万元人民币,1560万元人民币,存续,有限责任公司,有限责任公司,自然人投资或控股,微型企业,,无分支机构信息,,无投融资信息,科技型中小企业 | 小微企业,张晋兵,110105018499569,327283225,其他技术推广服务,技术推广服务；软件开发；基础软件服务；应用软件服务（不含医用软件）；产品设计；计算机系统服务；计算机技术培训；医学研究（不含诊疗活动）；投资咨询；财务咨询（不得开展审计、验资、查账、评估、会计咨询、代理记账等需经专项审批的业务，不得出具相应的审计报告、验资报告、查账报告、评估报告等文字材料）；经济贸易咨询；货物进出口、代理进出口、技术进出口；销售工艺品、文具用品、通讯器材、计算机软件及辅助设备、化工产品（不含危险化学品）、机械设备、电子产品、金属材料、仪器仪表、医疗器械II类；承办展览展示活动；会议服务；从事商业经纪业务；广告设计、制作、代理、发布；市场调查；销售第Ⅲ类医疗器械。（企业依法自主选择经营项目，开展经营活动；销售第III类医疗器械以及依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）,id0909@126.com,,冯金旭; 北京缙铖投资管理有限公司; 张晋兵; 赵宇莺,19040070190,010-57198039,010-84463658,13914480088,13347802606,
北京宠爱国际动物医疗机构有限公司,91110105097178808J,41737,651万元人民币,645.6万元人民币,存续,外商投资,有限责任公司,外商投资、非独资,微型企业,,无分支机构信息,,C轮,专精特新 | 专精特新中小企业,李雪,110105017022726,097178808,兽医服务,动物疫病预防、诊疗、治疗和绝育手术（一层部分、二层全部）；销售日用品、Ⅰ类医疗器械；出租商业用房；会议服务；经济贸易咨询；技术推广服务；软件开发；企业管理咨询。（市场主体依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。）,shuiwukuaiji@chongaipet.com,,FV Diamond （Hong Kong） Limited; Highlight Biotech Limited; Inspiration Petcare （HK） Limited; 北京丽宫影视文化有限公司; 北京太宠国际企业管理顾问中心（有限合伙）; 北京白泽宠乐企业管理合伙企业（有限合伙）; 北京黛梦德企业管理合伙企业（有限合伙）; 天津普思一号创业投资基金合伙企业（有限合伙）; 快速啟動香港有限公司; 李博; 李雪,15810394408,010-87950953,15810029070,,,
北京亿家老小医疗科技有限公司,91110105MA0054PE9F,42485,2500万元人民币,1765万元人民币,存续,有限责任公司,其他有限责任公司,,微型企业,,无分支机构信息,,无投融资信息,高新技术企业 | 小微企业,董小蒙,110105021117905,MA0054PE9,其他科技推广服务业,零售医疗器械Ⅲ类；销售医疗器械I、II类、文具用品、日用品、计算机、软件及辅助设备、机械设备、电子产品、五金交电、针纺织品、服装、鞋帽、首饰、工艺品、乐器、照相器材；承办展览展示活动；租赁医疗器械；技术开发；技术服务；技术咨询；技术转让；组织文化艺术交流活动（不含演出）；企业策划；会议服务；货物进出口、技术进出口、代理进出口。（市场主体依法自主选择经营项目，开展经营活动；零售医疗器械Ⅲ类以及依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。）,yujing@360yijia.com,,北京亿家老小集团有限公司; 董小蒙,52408003,52886216,,,,
禾普生医医疗管理有限公司,91110108MA00A4RF7P,42711,5000万元人民币,,存续,有限责任公司,其他有限责任公司,,,,无分支机构信息,,无投融资信息,小微企业,白月梅,110108022573121,MA00A4RF7,其他综合管理服务,医院管理（不含诊疗活动）；企业管理；餐饮管理；酒店管理；技术开发、技术推广、技术转让、技术咨询、技术服务；计算机系统服务；基础软件服务；应用软件服务（不含医用软件）；软件开发；产品设计；教育咨询（中介服务除外）；经济贸易咨询；文化咨询；体育咨询；公共关系服务；会议服务；工艺美术设计；电脑动画设计；企业策划、设计；设计、制作、代理、发布广告；市场调查；组织文化艺术交流活动（不含营业性演出）；文艺创作；承办展览展示活动；影视策划；翻译服务；自然科学研究；工程和技术研究；农业科学研究；医学研究（不含诊疗活动）；数据处理；销售电子产品、I类、II类医疗器械、化工产品（不含危险化学品及一类易制毒化学品）。（市场主体依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。）,Caiwu@hpsygroups.com,,上海初我医院管理合伙企业（有限合伙）; 西安普润生医医院管理合伙企业（有限合伙）,010-58621262,15991948379,65143081,58241518,010-58241518,
北京朝阳医药有限公司,91110105101783067Y,34591,150万元人民币,150万元人民币,存续,有限责任公司,其他有限责任公司,,小型企业,,无分支机构信息,北京市朝阳区建国路91号2层,无投融资信息,无特殊资质,李凯,110105002341604,101783067,中药批发,许可项目：药品批发；农药批发；第三类医疗设备租赁；医疗器械互联网信息服务；Ⅱ、Ⅲ类射线装置销售；食品销售；中药饮片代煎服务；消毒器械销售；第三类医疗器械经营；城市配送运输服务（不含危险货物）；药品互联网信息服务；第二类增值电信业务；在线数据处理与交易处理业务（经营类电子商务）。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）一般项目：低温仓储（不含危险化学品等需许可审批的项目）；第一类医疗器械销售；国内货物运输代理；互联网销售（除销售需要许可的商品）；电子产品销售；会议及展览服务（出国办展须经相关部门审批）；信息咨询服务（不含许可类信息咨询服务）；中医诊所服务（须在中医主管部门备案后方可从事经营活动）；第二类医疗设备租赁；第一类医疗设备租赁；医用口罩批发；医护人员防护用品批发；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；特殊医学用途配方食品销售；食品销售（仅销售预包装食品）；保健食品（预包装）销售；婴幼儿配方乳粉及其他婴幼儿配方食品销售；仓储设备租赁服务；普通货物仓储服务（不含危险化学品等需许可审批的项目）；地产中草药（不含中药饮片）购销；中草药收购；消毒剂销售（不含危险化学品）；日用化学产品销售；制冷、空调设备销售；大数据服务；纸制品销售；数据处理和存储支持服务；第二类医疗器械销售；日用百货销售；光学仪器销售；健康咨询服务（不含诊疗服务）；货物进出口；技术进出口；进出口代理；建筑工程用机械销售；金属丝绳及其制品销售；五金产品批发；金属制品销售；金属工具销售；户外用品销售；通讯设备销售；特种劳动防护用品销售。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）（不得从事国家和本市产业政策禁止和限制类项目的经营活动。）,anjielier@126.com,,北京商务中心区投资管理有限公司; 北京百世堂医药有限公司,87220050,13901004426,87312701,87310308,-,
雅培医疗用品（上海）有限公司北京市朝阳分公司,911101055658310205,40479,,,存续,其他,分公司,,微型企业,,无分支机构信息,,无投融资信息,小微企业,张焱,110000450154024,565831020,其他技术推广服务,医疗器械的技术咨询、技术支持、技术培训和售后服务。（依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动。）,peixiapenny.gao@abbott.com,,,18511737660,13521202426,010-84447118,01084447118,010-84447111,
北京诺春风医疗科技有限公司,91110105MA00844C5C,42611,1060万元人民币,1060万元人民币,存续,有限责任公司,有限责任公司,自然人投资或控股,微型企业,1,北京诺春风医疗科技有限公司山东分公司,北京市朝阳区姚家园路105号国兴观湖1号楼1703,天使轮,小微企业,周锋,110105021984834,MA00844C5,其他科技推广服务业,技术推广服务；经济贸易咨询；计算机系统服务；基础软件服务；应用软件服务（不含医用软件）；公共关系服务；会议服务；企业策划；设计、制作、代理、发布广告；市场调查；企业管理咨询；组织文化艺术交流活动（不含演出）；承办展览展示活动；自然科学研究；工程和技术研究；医学研究（不含诊疗活动）；数据处理（数据处理中的银行卡中心、PUE值在1.5以上的云计算数据中心除外）；销售食用农产品、I、II类医疗器械、化工产品（不含危险化学品）、化妆品；健康管理（须经审批的诊疗活动除外）；健康咨询（须经审批的诊疗活动除外）；销售III类医疗器械；销售食品。（市场主体依法自主选择经营项目，开展经营活动；销售食品、销售第三类医疗器械依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。）,80313923@qq.com,,《生命时报》社有限公司; 北京坤盛天华投资有限责任公司; 北京征和惠通基金管理有限公司; 昆仑健康保险股份有限公司; 郝信星,010-65010188,01056104825,01057839597,010-57839560,010-65010188-411,
北京立镁医疗科技有限责任公司,91110102MA7G1P18XX,44566,323万元人民币,63万元人民币,存续,有限责任公司,其他有限责任公司,,微型企业,,无分支机构信息,,A轮,小微企业,安奕成,110102032646189,MA7G1P18X,其他科技推广服务业,一般项目：技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；机械设备销售；仪器仪表销售；计算机软硬件及辅助设备零售；通讯设备销售；第一类医疗器械销售；第二类医疗器械销售；专业设计服务；社会经济咨询服务；体育赛事策划；会议及展览服务；广告发布；广告设计、代理；广告制作；市场调查（不含涉外调查）；企业管理咨询；组织文化艺术交流活动；文艺创作；翻译服务；自然科学研究和试验发展；工程和技术研究和试验发展；农业科学研究和试验发展；医学研究和试验发展；健康咨询服务（不含诊疗服务）；货物进出口；技术进出口；进出口代理。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）许可项目：广播电视节目制作经营。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）（不得从事国家和本市产业政策禁止和限制类项目的经营活动。）,yichengnankai@126.com,,北京星逸医疗科技合伙企业（有限合伙）; 北京镁正医疗科技合伙企业（有限合伙）; 郑楠; 青岛元禾原点数智转化创业投资合伙企业（有限合伙）; 青岛金水缘医疗科技合伙企业（有限合伙）; 青岛金瀛医疗科技有限公司; 黄琪,18844210007,,,,,
瑞佑医疗科技有限公司,91110108MA01E72G7D,43333,5000万元人民币,981万元人民币,存续,有限责任公司,有限责任公司,自然人投资或控股,微型企业,,无分支机构信息,北京市海淀区白家疃尚水园2号楼8层820,无投融资信息,小微企业,陈博洋,110108025869083,MA01E72G7,医学研究和试验发展,一般项目：医学研究和试验发展；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；数据处理服务；企业管理咨询；家具销售；机械设备销售；五金产品零售；建筑材料销售；仪器仪表销售；计算机软硬件及辅助设备零售；电子专用设备销售。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）（不得从事国家和本市产业政策禁止和限制类项目的经营活动。）,13132554249@163.com,,陈利军; 陈博洋,13132554249,010-59718313,17800883772,18511666247,15110188028,
